I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-53,-27,27,40,-39,0,722,1251,1255,1211,586,41
-24,26,51,0,-37,38,650,1181,1186,1163,603,74
-6,72,78,-33,-41,75,588,1110,1115,1110,613,108
12,113,102,-62,-44,108,531,1028,1037,1038,599,138
24,146,123,-85,-49,134,479,952,964,970,586,161
30,175,145,-102,-57,160,436,881,900,907,570,186
38,196,159,-116,-60,177,389,808,833,844,552,195
39,205,168,-121,-64,186,348,745,775,791,539,202
43,208,166,-125,-61,187,307,673,708,727,511,201
42,200,159,-121,-58,180,267,612,647,670,485,192
38,189,152,-113,-57,171,238,555,589,608,449,190
36,173,137,-104,-50,155,206,496,525,543,408,173
28,152,124,-89,-48,138,181,450,471,490,374,161
23,137,115,-79,-46,126,158,396,415,428,329,152
14,121,108,-67,-46,114,133,350,366,378,294,142
8,112,105,-59,-48,108,116,312,331,336,264,141
8,103,97,-55,-44,100,93,273,296,299,238,131
7,95,89,-50,-41,92,77,252,277,278,225,127
13,89,77,-51,-32,83,61,227,254,251,207,120
17,81,64,-48,-23,72,51,213,239,236,197,112
19,75,57,-46,-18,66,53,204,230,221,184,116
21,65,45,-43,-12,55,49,189,211,203,169,107
15,54,40,-34,-12,47,53,185,200,196,163,102
9,46,38,-27,-14,42,54,169,182,175,144,100
-2,34,38,-16,-19,36,50,157,168,161,132,95
-9,31,40,-11,-24,36,51,148,162,150,123,100
-7,30,37,-11,-21,34,42,136,152,140,115,95
-6,28,35,-10,-20,31,40,137,153,141,118,95
1,28,28,-14,-13,28,35,131,147,133,111,93
10,31,22,-20,-6,27,34,132,145,133,112,89
21,42,23,-31,-1,32,42,134,149,132,109,97
28,43,16,-35,7,30,40,131,140,127,106,90
25,37,12,-31,7,25,43,138,140,134,114,86
17,27,11,-22,4,19,42,129,129,121,101,84
-1,9,11,-4,-5,10,37,120,120,111,90,81
-10,4,15,3,-12,10,38,116,117,104,84,86
-8,5,14,2,-11,9,31,108,109,98,80,79
-11,2,14,5,-12,8,29,109,112,103,85,77
-9,0,9,5,-9,5,25,101,108,97,78,73
-10,-5,6,8,-8,0,22,98,105,96,76,69
-13,-6,8,10,-10,1,29,97,105,90,70,77
-9,-6,4,8,-6,-1,28,92,99,84,64,75
-8,-5,5,7,-6,0,34,99,103,91,69,79
-3,1,5,2,-4,3,38,97,100,87,63,82
-1,4,6,-1,-3,5,39,101,101,91,66,80
-3,5,9,0,-6,7,43,102,103,92,67,86
-4,0,5,3,-4,2,37,96,96,89,66,80
-8,-4,4,6,-6,0,35,98,98,95,71,79
-5,-4,2,5,-3,-1,29,89,89,88,63,75
-5,-5,0,6,-2,-3,23,85,84,87,62,70
-4,-1,4,3,-4,1,25,82,82,82,56,77
-1,-1,1,2,-1,0,24,76,75,76,50,73
-4,-4,0,4,-2,-2,31,83,79,82,55,76
-3,-2,1,3,-1,-1,35,80,76,77,49,78
-5,-3,3,5,-3,0,37,82,77,81,53,75
-7,-2,6,5,-6,2,41,83,80,83,54,78
-5,-4,2,5,-3,-1,34,78,73,79,53,69
-6,-6,0,6,-3,-3,32,80,75,83,58,65
-1,-5,-4,3,2,-5,25,70,67,74,52,59
2,-6,-8,3,6,-7,20,67,64,72,51,53
5,-3,-7,-1,6,-5,24,65,64,67,45,60
6,-4,-10,-1,8,-7,22,59,57,60,39,56
0,-9,-8,5,4,-8,28,65,60,64,43,59
-3,-9,-5,6,1,-7,30,61,57,58,38,61
-9,-11,-2,10,-3,-6,31,64,59,61,41,60
-11,-9,2,11,-6,-3,35,66,62,63,44,65
-8,-9,-1,9,-3,-5,28,61,56,60,45,59
-9,-11,-2,11,-3,-6,28,64,57,64,52,57
-5,-12,-6,9,1,-9,22,55,47,54,46,49
-3,-14,-10,9,4,-12,18,51,42,51,45,43
-2,-11,-9,7,4,-10,22,46,42,44,38,50
-1,-14,-12,8,6,-13,19,39,35,36,32,47
-8,-20,-11,15,2,-16,24,45,41,41,36,52
-9,-21,-11,15,1,-16,26,41,39,34,31,55
-12,-23,-11,18,0,-17,26,45,41,37,36,56
-12,-22,-9,17,-1,-15,29,49,44,39,38,61
-8,-21,-13,15,3,-17,21,46,38,38,40,53
-10,-23,-13,17,2,-18,19,48,39,40,44,50
-8,-24,-16,16,4,-20,13,37,29,28,34,42
-8,-27,-18,18,6,-22,7,32,23,23,31,35
-7,-24,-16,16,5,-20,9,27,20,14,23,40
-7,-27,-19,18,6,-23,6,19,13,5,17,37
-15,-33,-17,25,1,-25,13,23,18,9,21,42
-18,-35,-17,27,0,-26,16,19,16,3,15,46
-22,-40,-17,32,-2,-29,17,23,17,7,18,47
-24,-41,-16,33,-3,-28,21,25,19,9,20,52
-20,-43,-22,32,1,-32,15,21,13,8,22,44
-22,-47,-24,35,1,-35,14,23,13,11,26,40
-19,-48,-28,34,5,-38,8,13,2,-1,17,33
-18,-53,-34,36,9,-44,3,8,-3,-6,15,27
-15,-53,-37,34,12,-45,5,1,-7,-15,7,33
-13,-55,-41,35,14,-48,2,-6,-14,-22,1,29
-20,-58,-38,39,9,-48,9,-1,-10,-17,6,35
-20,-58,-37,40,9,-48,13,-3,-12,-20,3,37
-23,-62,-39,43,8,-51,17,3,-8,-11,10,37
-24,-62,-37,43,7,-49,23,6,-5,-8,12,42
-21,-62,-41,42,10,-51,19,2,-12,-10,11,37
-18,-61,-43,40,13,-52,19,6,-9,-4,17,35
-5,-55,-50,30,23,-52,15,0,-15,-8,14,28
-3,-58,-55,31,27,-57,12,-4,-19,-9,14,22
-5,-61,-56,34,26,-58,15,-12,-23,-18,6,27
-6,-66,-59,36,27,-62,14,-20,-29,-25,-1,24
-13,-71,-56,42,22,-63,20,-14,-21,-19,3,29
-13,-71,-57,43,22,-64,23,-16,-21,-22,-1,33
-16,-75,-59,46,22,-67,24,-10,-16,-16,4,35
-15,-75,-59,45,22,-67,30,-5,-10,-11,8,41
-10,-76,-66,43,28,-71,28,-6,-14,-9,11,34
-14,-83,-68,49,28,-76,30,-2,-11,-1,19,32
-16,-90,-74,53,30,-82,25,-10,-19,-7,14,24
-22,-100,-78,61,28,-89,23,-13,-23,-8,13,19
-28,-104,-76,66,24,-90,28,-20,-25,-17,3,24
-28,-107,-79,68,26,-93,28,-24,-30,-21,-2,22
-32,-110,-77,71,23,-93,36,-16,-22,-12,4,29
-32,-109,-77,71,23,-93,41,-14,-20,-11,3,32
-36,-113,-77,75,21,-95,47,-4,-11,-1,11,33
-40,-116,-75,78,18,-95,54,2,-4,5,14,39
-42,-121,-79,82,19,-100,53,2,-6,9,16,33
-43,-124,-80,84,19,-102,55,10,0,18,23,33
-36,-121,-85,79,25,-103,50,7,-4,14,21,27
-31,-121,-89,77,29,-105,47,8,-4,15,22,23
-27,-116,-89,72,31,-103,51,6,-4,9,15,29
-25,-116,-91,71,33,-103,51,5,-5,7,13,28
-32,-118,-86,75,28,-102,61,16,7,17,20,35
-33,-117,-84,76,26,-101,65,18,11,15,18,38
-39,-120,-81,80,21,-101,70,27,21,23,23,38
-42,-121,-78,82,18,-99,75,33,29,28,27,42
-42,-124,-81,83,20,-103,71,34,27,31,30,33
-47,-129,-82,88,18,-105,73,41,33,38,36,29
-46,-132,-86,89,20,-109,70,35,27,32,28,18
-48,-134,-86,91,20,-110,69,34,25,31,25,12
-49,-131,-82,90,17,-106,74,30,24,23,15,17
-46,-129,-82,88,18,-105,75,28,22,20,10,14
-48,-127,-78,88,16,-103,84,38,34,31,16,22
-47,-125,-78,86,16,-101,89,38,36,31,14,22
-52,-129,-77,91,13,-103,94,46,42,41,21,19
-58,-132,-73,95,8,-102,101,50,46,45,21,21
-64,-138,-74,101,5,-106,97,49,43,45,19,11
-70,-143,-73,107,2,-108,99,52,44,49,21,8
-67,-144,-76,106,5,-110,94,43,33,38,12,-2
-67,-146,-79,107,6,-113,92,39,27,33,8,-11
-65,-144,-78,105,7,-111,96,32,22,22,-3,-10
-63,-143,-80,104,8,-111,96,26,15,13,-12,-15
-68,-143,-75,106,4,-109,104,32,20,17,-12,-8
-67,-141,-73,104,3,-107,107,29,18,12,-19,-7
-70,-142,-71,106,1,-106,110,35,21,18,-14,-9
-75,-143,-68,109,-3,-105,114,35,20,17,-16,-7
-79,-149,-70,114,-4,-110,108,28,10,14,-20,-19
-85,-154,-69,120,-8,-111,108,28,8,15,-20,-24
-84,-156,-72,120,-6,-114,101,14,-5,3,-32,-35
-83,-155,-72,119,-5,-114,98,8,-13,-2,-38,-44
-78,-147,-69,113,-4,-108,103,-1,-20,-15,-52,-44
-72,-142,-70,107,-1,-106,100,-9,-28,-24,-61,-50
-71,-138,-67,105,-2,-102,105,-4,-23,-22,-60,-47
-71,-138,-66,105,-2,-102,104,-9,-27,-29,-68,-50
-80,-145,-65,113,-7,-105,104,-5,-27,-27,-66,-55
-84,-148,-63,116,-10,-106,106,-6,-28,-30,-71,-55
-85,-153,-67,119,-9,-110,100,-11,-35,-35,-76,-65
-90,-157,-67,124,-11,-112,99,-11,-36,-34,-75,-69
-89,-159,-70,124,-9,-115,90,-23,-50,-46,-83,-80
-92,-163,-71,128,-10,-117,85,-28,-57,-51,-87,-85
-93,-160,-67,127,-13,-114,86,-37,-61,-63,-100,-79
-92,-158,-66,125,-13,-112,82,-42,-66,-70,-107,-81
-94,-154,-59,124,-17,-107,87,-34,-57,-64,-102,-72
-93,-151,-57,122,-18,-104,87,-35,-56,-67,-105,-69
-98,-153,-55,126,-21,-104,88,-27,-48,-58,-98,-67
-100,-151,-51,126,-24,-101,92,-22,-40,-54,-95,-60
-100,-151,-50,125,-24,-101,88,-20,-39,-50,-92,-64
-99,-148,-49,124,-25,-99,87,-10,-32,-40,-83,-63
-90,-143,-53,117,-18,-98,78,-12,-35,-41,-83,-70
-87,-140,-53,114,-17,-97,72,-8,-33,-37,-80,-73
-84,-133,-49,109,-17,-91,71,-10,-32,-42,-88,-67
-81,-130,-49,106,-16,-90,65,-10,-32,-43,-89,-68
-83,-129,-45,106,-19,-87,68,1,-20,-33,-81,-58
-80,-122,-42,102,-19,-82,68,4,-15,-33,-81,-51
-81,-118,-37,100,-22,-78,71,15,-2,-21,-72,-44
-76,-108,-32,92,-21,-70,74,26,10,-12,-64,-34
-65,-99,-34,82,-15,-67,67,36,16,-1,-54,-36
-66,-99,-32,83,-17,-66,66,46,24,12,-43,-34
-68,-103,-35,86,-16,-69,57,40,18,9,-45,-40
-72,-108,-35,90,-18,-71,50,40,17,9,-43,-44
-74,-107,-32,91,-21,-69,47,34,13,-1,-51,-38
-73,-105,-32,89,-20,-68,41,31,11,-3,-53,-38
-75,-100,-24,88,-25,-62,46,41,23,7,-46,-26
-74,-96,-22,85,-26,-59,45,42,27,8,-45,-21
-78,-98,-20,89,-29,-59,46,53,37,21,-35,-17
-81,-98,-16,90,-32,-57,48,58,44,26,-31,-10
-82,-99,-17,91,-32,-58,42,60,43,29,-28,-14
-82,-97,-15,90,-33,-56,41,66,49,37,-21,-11
-72,-91,-19,82,-27,-55,34,61,43,33,-23,-16
-66,-86,-20,76,-23,-53,30,61,41,36,-19,-18
-58,-76,-18,67,-20,-47,32,54,38,31,-25,-12
-52,-70,-18,61,-17,-44,29,51,34,30,-25,-13
-53,-65,-12,59,-20,-39,35,60,43,38,-18,-2
-53,-64,-11,58,-21,-37,35,58,41,36,-19,1
-60,-69,-9,65,-25,-39,37,65,47,44,-11,3
-64,-70,-6,67,-28,-38,40,66,49,46,-9,8
-65,-73,-8,69,-28,-41,36,65,46,48,-5,1
-67,-75,-8,71,-29,-41,36,69,49,55,2,1
-62,-74,-12,68,-24,-43,28,60,41,49,-2,-6
-55,-72,-17,63,-18,-44,24,57,37,48,-2,-10
-41,-61,-20,52,-10,-41,25,46,31,36,-11,-7
-30,-53,-23,42,-4,-38,21,41,26,31,-13,-10
-27,-44,-18,36,-4,-31,27,48,33,37,-7,0
-29,-44,-15,37,-7,-30,26,44,29,32,-10,2
-44,-55,-11,49,-16,-33,27,47,32,37,-2,2
-52,-59,-7,56,-22,-33,29,46,31,34,-4,6
-57,-66,-9,62,-24,-38,22,42,26,32,-5,-2
-59,-67,-8,63,-25,-38,22,45,28,36,0,-1
-50,-63,-13,56,-18,-38,14,38,20,29,-4,-6
-51,-65,-15,58,-18,-40,9,36,16,29,-3,-10
-53,-66,-13,60,-19,-40,8,27,9,18,-11,-9
-52,-68,-16,61,-18,-42,3,20,2,11,-16,-12
-54,-68,-13,61,-20,-40,9,23,6,14,-17,-2
-51,-65,-14,58,-18,-40,9,18,4,9,-22,2
-52,-66,-14,59,-19,-40,12,24,11,17,-15,7
-51,-63,-12,57,-19,-38,15,26,15,20,-12,14
-49,-64,-15,57,-17,-39,10,28,14,25,-6,10
-51,-66,-15,59,-17,-41,12,34,18,31,1,12
-46,-68,-22,58,-12,-45,5,25,8,23,-4,4
-47,-73,-26,60,-11,-49,0,22,5,21,-4,-3
-46,-73,-27,60,-10,-50,-3,11,-1,9,-14,-3
-45,-74,-29,60,-8,-51,-7,4,-6,1,-20,-8
-48,-73,-24,61,-12,-48,1,8,1,3,-21,1
-47,-70,-24,59,-11,-47,2,5,1,-2,-25,4
-49,-71,-22,61,-13,-47,6,13,10,8,-16,8
-51,-71,-19,61,-16,-45,10,16,15,11,-14,15
-54,-74,-20,64,-17,-47,7,18,15,17,-10,10
-56,-75,-20,66,-18,-47,10,25,21,25,-3,12
-49,-74,-25,62,-12,-50,3,20,15,22,-5,4
-49,-75,-26,62,-11,-51,1,20,15,24,-3,1
-47,-70,-24,59,-11,-47,1,11,11,14,-11,3
-45,-69,-24,57,-10,-46,-1,8,7,11,-14,3
-47,-66,-19,57,-14,-42,7,16,16,15,-11,15
-45,-64,-19,54,-13,-41,10,15,16,14,-13,19
-47,-66,-19,57,-14,-42,15,24,25,26,-3,24
-45,-61,-16,53,-14,-39,20,29,31,31,0,30
-40,-57,-17,49,-12,-37,17,33,34,39,6,25
-43,-56,-14,50,-14,-35,19,40,40,46,12,26
-42,-58,-17,50,-12,-37,13,34,31,39,7,18
-42,-59,-17,51,-12,-38,11,34,31,40,8,14
-38,-54,-16,46,-11,-35,13,26,28,31,-2,17
-33,-50,-18,42,-7,-34,9,24,25,28,-3,14
-30,-44,-14,38,-8,-29,13,31,34,35,3,20
-32,-45,-13,39,-9,-29,12,29,32,32,0,22
-46,-56,-10,51,-18,-33,17,35,39,39,7,26
-51,-57,-7,54,-22,-32,20,38,43,41,8,32
-52,-60,-7,56,-22,-34,16,42,45,46,13,28
-54,-59,-6,57,-24,-32,18,51,51,54,20,30
-48,-57,-10,52,-19,-33,13,48,46,52,19,22
-45,-56,-11,51,-17,-34,11,49,46,55,22,19
-39,-51,-12,45,-14,-31,11,41,41,44,13,23
-37,-50,-14,44,-11,-32,8,38,38,41,9,20
-40,-50,-10,45,-15,-30,14,44,45,46,10,28
-40,-50,-10,45,-15,-30,15,41,45,43,7,30
-46,-55,-9,51,-18,-32,20,49,53,51,16,34
-48,-54,-6,51,-21,-30,24,52,58,53,18,40
-49,-56,-7,53,-20,-32,21,55,61,58,23,36
-50,-56,-6,53,-21,-31,24,62,66,65,29,40
-43,-54,-11,48,-16,-32,18,57,59,62,26,35
-39,-52,-13,46,-13,-32,16,59,59,66,31,30
-30,-43,-13,37,-8,-28,15,54,56,59,27,29
-29,-43,-15,36,-7,-29,11,50,52,55,24,24
-36,-46,-10,41,-13,-28,17,52,56,54,22,31
-37,-45,-9,41,-14,-27,18,49,53,49,17,33
-41,-46,-6,44,-17,-26,24,57,61,60,24,38
-40,-43,-3,42,-19,-23,28,61,66,64,26,43
-39,-43,-4,41,-18,-23,25,67,70,72,34,37
-44,-45,-2,45,-21,-23,27,73,76,79,39,38
-45,-49,-5,47,-20,-27,20,65,66,71,33,28
-48,-54,-6,51,-21,-30,16,65,64,72,34,22
-46,-51,-5,49,-20,-28,14,56,56,61,25,22
-45,-50,-6,47,-19,-28,9,52,52,58,22,19
-47,-46,0,47,-23,-23,15,56,58,60,21,29
-41,-42,-1,42,-20,-21,15,53,57,57,17,31
-40,-41,-1,41,-20,-21,21,61,66,66,25,35
-40,-40,0,40,-20,-20,26,63,70,69,26,40
-44,-45,-1,44,-21,-23,23,67,72,76,32,34
-48,-46,1,47,-24,-23,25,73,77,83,37,36
-44,-46,-3,45,-20,-24,18,67,70,77,32,29
-44,-48,-4,46,-20,-26,15,66,68,78,33,24
-39,-44,-5,42,-17,-25,13,56,60,68,23,23
-35,-42,-8,38,-13,-25,9,51,56,62,18,19
-33,-36,-3,35,-15,-20,15,54,63,61,17,29
-29,-31,-2,30,-13,-17,17,51,62,57,15,30
-33,-31,2,32,-17,-15,24,61,71,69,26,35
-36,-29,6,33,-21,-12,28,63,75,71,28,39
-40,-34,6,37,-23,-14,25,67,75,75,34,34
-45,-35,9,40,-27,-13,29,74,81,81,40,35
-42,-35,6,38,-24,-15,25,70,75,77,36,27
-43,-39,3,41,-23,-18,24,71,73,79,38,22
-39,-39,0,39,-19,-20,22,61,63,67,29,18
-38,-41,-3,40,-18,-22,20,54,56,61,23,13
-42,-39,3,40,-22,-18,28,53,61,57,17,21
-38,-35,3,37,-20,-16,30,50,59,53,12,22
-38,-33,5,36,-22,-14,36,60,68,64,22,27
-38,-31,7,35,-22,-12,42,62,71,66,23,32
-41,-36,4,38,-22,-16,41,65,71,72,29,27
-42,-36,5,39,-23,-16,44,70,76,78,33,29
-35,-35,0,35,-18,-17,38,64,69,74,29,21
-33,-35,-3,34,-15,-19,36,65,68,77,32,17
-26,-31,-6,29,-10,-19,34,58,61,68,25,14
-24,-31,-8,28,-7,-20,31,53,56,63,21,9
-27,-30,-3,29,-12,-16,38,54,60,59,18,18
-23,-26,-3,25,-10,-14,39,51,57,53,13,19
-23,-23,0,23,-11,-12,44,60,66,62,21,24
-26,-22,3,24,-14,-10,48,62,68,62,22,27
-34,-30,4,32,-19,-13,46,65,69,68,29,19
-42,-35,6,39,-24,-14,48,68,71,72,34,20
-43,-40,2,42,-23,-19,40,60,61,66,30,11
-46,-45,0,46,-23,-23,37,59,59,68,31,7
-42,-44,-3,43,-19,-24,35,48,50,58,22,7
-38,-42,-4,40,-17,-23,32,43,46,53,18,4
-37,-35,2,36,-19,-17,38,45,52,51,15,15
-33,-29,3,31,-18,-13,40,42,50,46,11,18
-36,-28,8,32,-22,-10,47,52,58,55,20,26
-31,-20,11,26,-21,-4,53,55,62,57,21,32
-24,-13,10,19,-17,-2,55,61,67,65,28,30
-23,-12,11,18,-17,-1,58,68,73,73,36,32
-22,-17,5,19,-13,-6,50,65,66,71,38,21
-27,-24,3,26,-15,-10,46,64,64,72,41,15
-31,-27,3,29,-17,-12,42,50,54,57,29,12
-28,-27,0,27,-14,-13,37,45,50,52,26,7
-22,-18,3,20,-12,-8,42,49,57,53,25,15
-24,-22,2,23,-13,-10,40,44,52,47,19,14
-41,-36,5,38,-23,-16,45,48,57,54,23,17
-51,-43,8,47,-29,-18,47,47,56,52,20,19
-59,-51,8,55,-34,-22,44,50,56,55,24,13
-64,-54,10,59,-37,-22,46,54,61,60,27,15
-61,-54,6,58,-33,-24,39,48,55,56,23,8
-59,-55,3,57,-31,-26,37,50,55,59,26,5
-51,-51,-1,51,-25,-26,33,42,47,49,18,3
-45,-47,-3,46,-21,-25,29,38,43,45,16,0
-41,-38,1,40,-21,-18,37,40,49,43,15,12
-37,-35,1,36,-19,-17,36,37,46,38,12,13
-41,-36,4,39,-23,-16,41,48,54,48,23,18
-45,-37,7,41,-25,-15,43,49,56,48,22,22
-51,-44,6,48,-29,-19,42,51,57,51,27,20
-53,-44,8,49,-30,-18,44,55,62,56,30,23
-46,-42,4,44,-25,-19,38,50,55,52,27,15
-42,-40,1,42,-22,-20,36,53,55,56,30,12
-33,-35,-3,34,-15,-19,32,47,47,47,23,11
-30,-34,-4,32,-13,-19,28,43,42,43,19,6
-32,-30,1,31,-17,-15,33,42,45,39,14,14
-33,-31,1,32,-17,-15,31,37,41,32,8,14
-40,-36,3,38,-21,-17,36,44,48,39,13,19
-41,-36,4,39,-23,-16,39,45,50,37,11,23
-44,-39,4,42,-24,-18,39,50,53,43,15,21
-47,-41,6,44,-26,-18,42,54,58,48,19,24
-47,-44,2,45,-24,-21,35,48,50,45,18,15
-49,-49,-1,49,-24,-25,33,47,47,47,20,10
-44,-51,-8,48,-18,-29,29,35,36,35,10,4
-43,-54,-12,49,-16,-33,25,27,28,28,5,-2
-45,-52,-8,49,-18,-30,29,23,29,22,-1,7
-40,-50,-10,45,-15,-30,28,18,24,16,-6,7
-39,-49,-11,44,-14,-30,33,28,33,25,4,11
-35,-46,-13,41,-11,-29,35,29,34,24,4,13
-33,-50,-17,42,-8,-34,33,34,34,30,10,8
-36,-54,-19,45,-8,-36,34,38,38,33,12,7
-36,-61,-26,48,-5,-43,24,32,30,26,7,-5
-41,-69,-28,55,-6,-49,20,30,26,24,6,-11
-43,-74,-31,59,-6,-53,13,14,13,9,-9,-17
-44,-78,-34,61,-5,-56,6,6,4,2,-15,-24
-45,-75,-31,60,-7,-53,7,4,5,-3,-20,-18
-44,-77,-34,61,-5,-56,3,-3,-1,-11,-26,-22
-49,-84,-35,67,-7,-60,5,3,5,-6,-20,-19
-51,-86,-36,68,-7,-61,6,2,4,-9,-23,-16
-54,-91,-38,73,-8,-65,4,5,5,-4,-19,-19
-56,-92,-37,74,-9,-65,8,9,8,0,-17,-16
-51,-94,-43,72,-4,-68,3,4,1,-4,-20,-24
-53,-99,-46,76,-3,-73,2,4,-1,-3,-19,-31
-51,-102,-52,77,0,-77,-1,-9,-14,-15,-31,-41
-52,-105,-54,79,1,-79,-1,-14,-19,-22,-37,-48
-56,-103,-48,79,-4,-75,10,-15,-16,-28,-43,-40
-53,-100,-48,77,-3,-74,14,-18,-18,-33,-47,-41
-54,-99,-46,76,-4,-72,25,-7,-9,-22,-38,-36
-54,-96,-43,75,-5,-70,32,-5,-7,-20,-37,-33
-58,-99,-42,79,-8,-71,34,1,-4,-11,-29,-36
-63,-99,-37,81,-13,-68,40,5,2,-6,-25,-33
-64,-100,-37,82,-14,-68,36,0,-4,-11,-29,-40
-64,-99,-36,82,-14,-68,37,3,-2,-7,-25,-41
-57,-94,-38,75,-9,-66,36,-4,-7,-14,-32,-42
-55,-94,-39,75,-8,-67,36,-5,-8,-14,-31,-46
-58,-92,-34,75,-12,-63,44,-3,-3,-14,-30,-38
-59,-93,-34,76,-13,-64,46,-6,-6,-19,-35,-39
-67,-98,-31,83,-18,-65,56,4,2,-12,-31,-32
-67,-94,-28,81,-19,-61,61,6,5,-10,-32,-26
-67,-91,-25,79,-21,-58,64,14,12,1,-23,-25
-67,-89,-23,78,-22,-56,67,21,20,9,-17,-21
-64,-91,-28,78,-18,-59,59,16,15,9,-15,-30
-63,-92,-30,78,-17,-61,55,18,16,15,-10,-34
-55,-87,-33,71,-11,-60,48,9,7,6,-19,-40
-55,-86,-31,71,-12,-59,43,2,0,2,-23,-44
-61,-81,-21,71,-20,-51,47,-4,-1,-6,-30,-36
-62,-76,-15,69,-23,-45,45,-12,-6,-13,-36,-35
-67,-71,-5,69,-31,-38,51,-6,3,-6,-30,-28
-65,-63,2,64,-33,-31,54,-5,6,-6,-32,-23
-64,-57,6,60,-35,-26,57,3,12,2,-25,-23
-65,-53,11,59,-38,-21,60,11,17,9,-18,-21
-63,-53,10,58,-36,-21,52,9,11,10,-14,-32
-66,-56,10,61,-38,-23,50,10,9,13,-11,-36
-65,-57,7,61,-36,-25,43,-2,-3,-2,-24,-41
-64,-56,7,60,-35,-25,39,-6,-7,-6,-29,-45
-62,-49,12,56,-37,-19,42,-7,-4,-10,-36,-35
-58,-46,11,52,-34,-18,39,-10,-7,-15,-39,-35
-60,-46,12,53,-36,-17,44,-1,1,-6,-30,-28
-58,-46,12,52,-35,-17,45,-1,3,-6,-30,-22
-60,-50,9,55,-35,-20,43,5,7,2,-22,-21
-61,-49,11,55,-36,-19,45,9,13,7,-17,-14
-57,-47,9,52,-33,-19,37,6,8,5,-16,-18
-53,-43,9,48,-31,-17,34,12,13,12,-8,-16
-41,-34,6,38,-24,-14,28,9,9,6,-11,-17
-33,-28,4,30,-18,-12,23,9,9,8,-8,-17
-25,-17,7,21,-16,-5,26,10,13,7,-10,-4
-16,-9,6,13,-11,-2,22,8,13,5,-10,-2
-14,-5,8,9,-11,2,27,20,25,17,2,8
-12,1,11,6,-11,6,30,23,30,18,3,17
-15,0,15,7,-15,7,32,31,36,26,11,21
-18,2,19,8,-19,10,37,37,42,32,17,28
-17,1,17,8,-17,9,31,35,38,33,19,20
-13,2,14,6,-14,8,32,39,41,39,26,18
0,8,8,-4,-4,8,28,31,35,30,21,13
1,7,5,-4,-2,6,25,28,30,28,20,7
-4,8,11,-2,-7,9,28,24,28,23,15,14
-6,6,11,0,-8,8,23,17,21,15,8,11
-12,3,14,5,-13,8,26,23,26,19,10,16
-12,3,14,4,-13,8,26,23,26,17,7,19
-13,-1,11,7,-12,5,26,29,31,28,16,17
-16,-3,12,9,-14,5,29,33,35,31,19,21
-16,-7,8,11,-12,1,23,29,29,27,16,13
